seriec_179_esp.pdf in page 28:   '$9.032.00', '$300.000,00', '$78.09'
CtIDH_Casos_Esp_20170222.pdf in page 14161:   '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14162:   '$100.000,00', '$20.000,00', '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14163:   '$75,000,00', '$25,000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14167:   '$5,000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14196:   '$30.000,000'
CtIDH_Casos_Esp_20170222.pdf in page 14272:   '$4.638'
CtIDH_Casos_Esp_20170222.pdf in page 14276:   '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14277:   '$1.000.000,00', '$20,000.00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14278:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$380.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14280:   '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14389:   '$480'
CtIDH_Casos_Esp_20170222.pdf in page 14466:   '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14468:   '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14469:   '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14548:   '$400,00', '$30,400,00'
CtIDH_Casos_Esp_20170222.pdf in page 14549:   '$10.000.00', '$12,930,56', '$400,00', '$25,000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14550:   '$2,000.00', '$8,000.00', '$50,000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14551:   '$100,000,00', '$50,000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14553:   '$15,000,00', '$10,000,00', '$4,000,00', '$7,000,00', '$1,000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14556:   '$64,117.00', '$18,628.00', '$5,250.25'
CtIDH_Casos_Esp_20170222.pdf in page 14557:   '$10,000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14730:   '$10,536,596,944'
CtIDH_Casos_Esp_20170222.pdf in page 14732:   '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14826:   '$45.000,00', '$47.000,00', '$65.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 14836:   '$74,274.00', '$61,173.00'
CtIDH_Casos_Esp_20170222.pdf in page 14837:   '$14,519.00', '$26,996.76'
CtIDH_Casos_Esp_20170222.pdf in page 14961:   '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15032:   '$66.881'
CtIDH_Casos_Esp_20170222.pdf in page 15035:   '$50.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15036:   '$3.000,00', '$21.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15037:   '$50.000,00', '$8.000,00', '$8.000,00', '$8.000,00', '$74.000,00', '$100.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15038:   '$80.000,00', '$80.000,00', '$30.000', '$10.000,00', '$100.000,00', '$80.000,00', '$80.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$10.000,00', '$480.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15042:   '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15254:   '$30.767.200', '$11.079.800', '$28.310.000', '$1,427,000', '$2,510,000', '$2,790,000', '$3,600,000', '$4,100,000'
CtIDH_Casos_Esp_20170222.pdf in page 15255:   '$5,511,000'
CtIDH_Casos_Esp_20170222.pdf in page 15330:   '$13.228.00', '$10.714', '$16.436', '$50.000'
CtIDH_Casos_Esp_20170222.pdf in page 15331:   '$3.004', '$67.927.03', '$16.926', '$382.698.02', '$2365', '$130.025', '$2365', '$127.636', '$2.365', '$2.956,49', '$117.372,79'
CtIDH_Casos_Esp_20170222.pdf in page 15332:   '$2956', '$117.372,79', '$2956', '$130.233,38', '$2956', '$130.233,38', '$2956', '$53.208'
CtIDH_Casos_Esp_20170222.pdf in page 15334:   '$165,601,437.00', '$165,601,437', '$183,746,683.00', '$183,746,683.00', '$60,240,846.00'
CtIDH_Casos_Esp_20170222.pdf in page 15336:   '$5.000,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15338:   '$100.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15339:   '$200.000,00', '$30.000,00', '$120.000,00', '$50.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15343:   '$80,000,00', '$50,000.00', '$55,000.00', '$80.000,00', '$80.000,00', '$80,000,00', '$90,000,00', '$90,000,00', '$150,000,00', '$67,000,00', '$67,000,00', '$72,000,00', '$72,000,00', '$72,000,00', '$80,000,00', '$80,000,00', '$80,000,00', '$80,000,00', '$200,000,00', '$34,000,00', '$34,000,00', '$34,000,00', '$34,000,00', '$80,000,00', '$50,000,00', '$80,000,00', '$50,000,00', '$80.000,00', '$80.000,00', '$80.000,00', '$80.000,00', '$80.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15344:   '$80.000,00', '$80.000,00', '$80.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15430:   '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15479:   '$30.000'
CtIDH_Casos_Esp_20170222.pdf in page 15481:   '$60.000,00', '$75.000,00', '$30.000,00', '$30.000,00', '$15.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15483:   '$100.000,00', '$50.000,00', '$50.000,00', '$20.000', '$50.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15485:   '$90.000,00', '$40.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15486:   '$20.000,00', '$50.000,00', '$8.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15491:   '$25.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15494:   '$89.732,94', '$17.172,27'
CtIDH_Casos_Esp_20170222.pdf in page 15495:   '$25.000,00', '$20.000,00', '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15615:   '$8.000,00', '$4.000,00', '$2.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15623:   '$37.995,94', '$50.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 15624:   '$6,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 15684:   '$11.248,80', '$102.748,80'
CtIDH_Casos_Esp_20170222.pdf in page 15688:   '$2.000'
CtIDH_Casos_Esp_20170222.pdf in page 15689:   '$7.200,00', '$5.110'
CtIDH_Casos_Esp_20170222.pdf in page 15910:   '$5.000,00', '$18.525,81'
CtIDH_Casos_Esp_20170222.pdf in page 15913:   '$11.520,30'
CtIDH_Casos_Esp_20170222.pdf in page 16034:   '$950.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16041:   '$25.668,86', '$5.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 16042:   '$15.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16160:   '$3,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 16163:   '$10,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 16170:   '$1,200,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 16171:   '$10,000.00', '$68,213.75', '$32,681.61'
CtIDH_Casos_Esp_20170222.pdf in page 16172:   '$45,000.00', '$27,000.00', '$10,000.00', '$45,000.00', '$8,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 16371:   '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16372:   '$20.000,00', '$250.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16373:   '$250.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16591:   '$185.00', '$2,500'
CtIDH_Casos_Esp_20170222.pdf in page 16797:   '$557.453'
CtIDH_Casos_Esp_20170222.pdf in page 16803:   '$60.000,00', '$50.000,00', '$110.000,00', '$25.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16804:   '$12.500,00', '$25.000,00', '$10.000,00', '$8.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16805:   '$150.000,00', '$100.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16806:   '$75.000,00', '$10.000,00', '$15.000,00', '$10.000,00', '$100.000,00', '$80.000,00', '$50.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16807:   '$80.000,00', '$50.000,00', '$50.000,00', '$20.000,00', '$80.000,00', '$20.000,00', '$50.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16808:   '$50.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16811:   '$55.000,00', '$100.000,00', '$40.000,00', '$40.000,00', '$8.000,00', '$8.000,00', '$40.000,00', '$55.000,00', '$80.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$55.000,00', '$80.000,00', '$55.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$40.000,00', '$55.000,00', '$80.000,00', '$55.000,00', '$40.000,00', '$40.000,00', '$20.000,00', '$25.000,00', '$50.000,00', '$20.000,00', '$1.361.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16820:   '$25.000,00', '$12.500,00', '$12.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16899:   '$7.062,78', '$282.511,20', '$1.901.643,80', '$466.143,80', '$1.435.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 16900:   '$11.204.530,00'
CtIDH_Casos_Esp_20170222.pdf in page 16901:   '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16902:   '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$165.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16903:   '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16904:   '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$60.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16905:   '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16906:   '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16907:   '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$905.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16909:   '$30.000,00', '$30.000,00', '$25.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16910:   '$11.204.530,00'
CtIDH_Casos_Esp_20170222.pdf in page 16913:   '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16914:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$660.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16915:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16916:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$1.820.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$240.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16917:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16918:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16919:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16920:   '$20.000,00', '$20.000,00', '$20.000,00', '$3,620.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16927:   '$25.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 16930:   '$55.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17064:   '$135.000', '$6.000', '$5.000', '$10.000'
CtIDH_Casos_Esp_20170222.pdf in page 17065:   '$80.000', '$300.000', '$2.000'
CtIDH_Casos_Esp_20170222.pdf in page 17130:   '$2.500,00', '$70.000,00', '$100,00', '$7.400,00', '$1.500,00', '$3.000,00', '$47,61', '$7.141,00', '$45.397,00'
CtIDH_Casos_Esp_20170222.pdf in page 17131:   '$135.000,00', '$6.000,00', '$4.857,00', '$5.000,00', '$10.000,00', '$2.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17133:   '$6.000,00', '$4.857'
CtIDH_Casos_Esp_20170222.pdf in page 17134:   '$100.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17135:   '$100.000,00', '$500.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17144:   '$1.544,00', '$30.000,00', '$21.000,00', '$3.000,00', '$4.200,00', '$2.750,00', '$15,00', '$3.000,00', '$9.950,00', '$5.400,00', '$3.100,00', '$15,00', '$6.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17145:   '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17370:   '$65.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17371:   '$25.000,00', '$15.000,00', '$25.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17372:   '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00', '$25.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17470:   '$1.400'
CtIDH_Casos_Esp_20170222.pdf in page 17563:   '$1.200,00'
CtIDH_Casos_Esp_20170222.pdf in page 17654:   '$100.000,00', '$100.000,00', '$100.000,00', '$100.000,00', '$40.500,00', '$40.500,00', '$240.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 17665:   '$240.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 17666:   '$500.000,00', '$30.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17814:   '$1.255,43', '$1.271,43', '$1.086,27'
CtIDH_Casos_Esp_20170222.pdf in page 17857:   '$1.000,00', '$331.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 17858:   '$100,00', '$300,00', '$2.100,00', '$200,00', '$20.000,00', '$6.000,00', '$8.000,00', '$4.000,00', '$34.000,00', '$450,00'
CtIDH_Casos_Esp_20170222.pdf in page 17859:   '$70.200,00', '$3.500,00', '$100.000,00', '$1.200,00', '$1.500,00', '$1.000,00', '$1.000,00', '$4.700,00'
CtIDH_Casos_Esp_20170222.pdf in page 17860:   '$100.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17861:   '$1.400,00', '$34.000,00', '$6.000,00', '$8.000,00', '$20.000,00', '$80.000,00', '$60.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17862:   '$100.000,00', '$100.000,00', '$280,00', '$40.000,00', '$40.280,00', '$280,00', '$40.000,00', '$40.280,00', '$280,00', '$6.000,00', '$20.000,00', '$26.280,00', '$280,00', '$8.000,00', '$20.000,00', '$28.280,00', '$280,00', '$20.000,00', '$20.000,00', '$40.280,00'
CtIDH_Casos_Esp_20170222.pdf in page 17864:   '$100.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17865:   '$275.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17866:   '$40.000,00', '$100.000,00', '$100.000,00', '$55.000,00', '$10.000,00', '$65.000,00', '$55.000,00', '$55.000,00', '$55.000,00', '$10.000,00', '$65.000,00', '$55.000,00', '$10.000,00', '$65.000,00', '$55.000,00', '$10.000,00', '$65.000,00', '$415.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17874:   '$600,00', '$10.738,32', '$7.600,00', '$600,00'
CtIDH_Casos_Esp_20170222.pdf in page 17875:   '$7.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17877:   '$275.400,00', '$100.000,00', '$40.280,00'
CtIDH_Casos_Esp_20170222.pdf in page 17878:   '$40.280,00', '$26.280,00', '$28.280,00', '$40.280,00', '$415.000,00', '$100.000,00', '$65.000,00', '$55.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 17879:   '$65.000,00', '$65.000,00', '$65.000,00', '$7.600,00'
CtIDH_Casos_Esp_20170222.pdf in page 18158:   '$2.950.00', '$698.00', '$13.178.00', '$8.600.00'
CtIDH_Casos_Esp_20170222.pdf in page 18159:   '$16.676.00', '$500.00', '$36.000.00', '$500.00'
CtIDH_Casos_Esp_20170222.pdf in page 18160:   '$5,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 18161:   '$5,000.00', '$1,000.00', '$6,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$10,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 18162:   '$55.000,00', '$15,000.00', '$20,000.00', '$12,000.00', '$10,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 18163:   '$10,000.00', '$8,000.00', '$2,000.00', '$10.000.00', '$50,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 18165:   '$20,000.00', '$10,000.00', '$44,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 18167:   '$32.816.00'
CtIDH_Casos_Esp_20170222.pdf in page 18168:   '$6,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 18171:   '$10,000.00', '$6,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$44,000.00'
